id_Temperatura,Temp_Y,Tipo_Y,Tiempo_X,Tipo_X,Experimento_id_Experimento
1,196.97,Celcius,0,Segundos,1
2,186.71,Celcius,0.5,Segundos,1
3,178.89,Celcius,1,Segundos,1
4,173.02,Celcius,1.5,Segundos,1
5,168.13,Celcius,2,Segundos,1
6,164.22,Celcius,2.5,Segundos,1
7,161.78,Celcius,3,Segundos,1
8,159.82,Celcius,3.5,Segundos,1
9,158.85,Celcius,4,Segundos,1
10,158.85,Celcius,4.5,Segundos,1
11,158.85,Celcius,5,Segundos,1
12,158.36,Celcius,5.5,Segundos,1
13,157.38,Celcius,6,Segundos,1
14,156.4,Celcius,6.5,Segundos,1
15,26.39,(C),0,(s),2
16,26.39,(C),0.5,(s),2
17,26.39,(C),1,(s),2
18,26.39,(C),1.5,(s),2
19,26.39,(C),2,(s),2
20,26.39,(C),2.5,(s),2
21,26.39,(C),3,(s),2
22,26.39,(C),3.5,(s),2
23,26.88,(C),4,(s),2
24,26.39,(C),4.5,(s),2
25,26.39,(C),5,(s),2
26,26.88,(C),5.5,(s),2
27,26.88,(C),6,(s),2
28,27.37,(C),6.5,(s),2
29,27.86,(C),7,(s),2
30,27.86,(C),7.5,(s),2
31,27.86,(C),8,(s),2
32,28.35,(C),8.5,(s),2
33,28.35,(C),9,(s),2
34,28.84,(C),9.5,(s),2
35,29.33,(C),10,(s),2
36,29.33,(C),10.5,(s),2
37,29.33,(C),11,(s),2
38,29.33,(C),11.5,(s),2
39,29.33,(C),12,(s),2
40,29.81,(C),12.5,(s),2
41,29.81,(C),13,(s),2
42,29.81,(C),13.5,(s),2
43,29.81,(C),14,(s),2
44,29.81,(C),14.5,(s),2
45,29.81,(C),15,(s),2
46,29.81,(C),15.5,(s),2
47,29.33,(C),16,(s),2
48,29.33,(C),16.5,(s),2
49,29.33,(C),17,(s),2
50,26.88,(C),0,(s),3
51,26.88,(C),0.5,(s),3
52,26.88,(C),1,(s),3
53,26.88,(C),1.5,(s),3
54,26.88,(C),2,(s),3
55,26.88,(C),2.5,(s),3
56,26.88,(C),3,(s),3
57,26.88,(C),3.5,(s),3
58,26.88,(C),4,(s),3
59,26.39,(C),0,(s),4
60,26.39,(C),0.5,(s),4
61,26.39,(C),1,(s),4
62,26.39,(C),1.5,(s),4
63,25.9,(C),2,(s),4
64,25.9,(C),2.5,(s),4
65,26.39,(C),3,(s),4
66,26.39,(C),3.5,(s),4
67,25.9,(C),4,(s),4
68,26.39,(C),4.5,(s),4
69,26.39,(C),5,(s),4
70,25.9,(C),5.5,(s),4
71,26.39,(C),6,(s),4
72,25.9,(C),6.5,(s),4
73,25.9,(C),7,(s),4
74,25.9,(C),7.5,(s),4
75,25.9,(C),8,(s),4
76,25.9,(C),8.5,(s),4
77,26.39,(C),9,(s),4
78,26.39,(C),9.5,(s),4
79,26.39,(C),10,(s),4
80,26.39,(C),10.5,(s),4
81,26.39,(C),11,(s),4
82,26.88,(C),11.5,(s),4
83,26.88,(C),12,(s),4
84,26.88,(C),12.5,(s),4
85,26.88,(C),13,(s),4
86,27.37,(C),13.5,(s),4
87,26.39,(C),14,(s),4
88,26.88,(C),14.5,(s),4
89,26.88,(C),15,(s),4
