id_Temperatura,Temp_Y,Tipo_Y,Tiempo_X,Tipo_X,Experimento_id_Experimento
914,31.77,Celsius (C),32,Segundos (s),19
915,31.28,Celsius (C),32.5,Segundos (s),19
916,31.28,Celsius (C),33,Segundos (s),19
917,31.28,Celsius (C),33.5,Segundos (s),19
918,31.28,Celsius (C),34,Segundos (s),19
919,31.28,Celsius (C),34.5,Segundos (s),19
920,31.28,Celsius (C),35,Segundos (s),19
921,31.28,Celsius (C),35.5,Segundos (s),19
922,31.28,Celsius (C),36,Segundos (s),19
923,31.28,Celsius (C),36.5,Segundos (s),19
924,31.28,Celsius (C),37,Segundos (s),19
925,30.79,Celsius (C),37.5,Segundos (s),19
926,31.28,Celsius (C),38,Segundos (s),19
927,31.28,Celsius (C),38.5,Segundos (s),19
928,30.79,Celsius (C),39,Segundos (s),19
929,30.79,Celsius (C),39.5,Segundos (s),19
930,31.28,Celsius (C),40,Segundos (s),19
931,30.79,Celsius (C),40.5,Segundos (s),19
932,31.28,Celsius (C),41,Segundos (s),19
933,30.79,Celsius (C),41.5,Segundos (s),19
934,30.79,Celsius (C),42,Segundos (s),19
935,30.79,Celsius (C),42.5,Segundos (s),19
936,30.79,Celsius (C),43,Segundos (s),19
937,30.79,Celsius (C),43.5,Segundos (s),19
